Viz Windows
          Start_Time                 End_Time            Duration 
    ______________________    ______________________    __________

    "30-Nov-2018 17:02:39"    "30-Nov-2018 17:07:39"    "00:05:00"
    "30-Nov-2018 18:35:59"    "30-Nov-2018 18:40:59"    "00:05:00"
    "01-Dec-2018 06:05:59"    "01-Dec-2018 06:10:59"    "00:05:00"
    "01-Dec-2018 07:39:19"    "01-Dec-2018 07:45:59"    "00:06:40"
    "01-Dec-2018 16:47:39"    "01-Dec-2018 16:50:59"    "00:03:20"
    "01-Dec-2018 18:19:19"    "01-Dec-2018 18:25:59"    "00:06:40"
    "02-Dec-2018 05:50:59"    "02-Dec-2018 05:55:59"    "00:05:00"
    "02-Dec-2018 07:24:19"    "02-Dec-2018 07:30:59"    "00:06:40"
    "02-Dec-2018 16:34:19"    "02-Dec-2018 16:35:59"    "00:01:40"
    "02-Dec-2018 18:04:19"    "02-Dec-2018 18:10:59"    "00:06:40"
    "03-Dec-2018 05:37:39"    "03-Dec-2018 05:39:19"    "00:01:40"
    "03-Dec-2018 07:09:19"    "03-Dec-2018 07:15:59"    "00:06:40"
    "03-Dec-2018 08:44:19"    "03-Dec-2018 08:45:59"    "00:01:40"
    "03-Dec-2018 17:49:19"    "03-Dec-2018 17:55:59"    "00:06:40"
    "04-Dec-2018 06:52:39"    "04-Dec-2018 07:00:59"    "00:08:20"
    "04-Dec-2018 08:29:19"    "04-Dec-2018 08:32:39"    "00:03:20"
    "04-Dec-2018 17:34:19"    "04-Dec-2018 17:40:59"    "00:06:40"
    "04-Dec-2018 19:10:59"    "04-Dec-2018 19:12:39"    "00:01:40"
    "05-Dec-2018 06:37:39"    "05-Dec-2018 06:45:59"    "00:08:20"
    "05-Dec-2018 08:12:39"    "05-Dec-2018 08:17:39"    "00:05:00"
    "05-Dec-2018 17:19:19"    "05-Dec-2018 17:25:59"    "00:06:40"
    "05-Dec-2018 18:54:19"    "05-Dec-2018 18:59:19"    "00:05:00"
    "06-Dec-2018 06:22:39"    "06-Dec-2018 06:29:19"    "00:06:40"
    "06-Dec-2018 07:57:39"    "06-Dec-2018 08:04:19"    "00:06:40"
    "06-Dec-2018 17:04:19"    "06-Dec-2018 17:09:19"    "00:05:00"
    "06-Dec-2018 18:37:39"    "06-Dec-2018 18:44:19"    "00:06:40"
    "07-Dec-2018 06:07:39"    "07-Dec-2018 06:14:19"    "00:06:40"
    "07-Dec-2018 07:40:59"    "07-Dec-2018 07:49:19"    "00:08:20"
    "07-Dec-2018 16:50:59"    "07-Dec-2018 16:54:19"    "00:03:20"
    "07-Dec-2018 18:22:39"    "07-Dec-2018 18:29:19"    "00:06:40"
    "08-Dec-2018 05:52:39"    "08-Dec-2018 05:57:39"    "00:05:00"
    "08-Dec-2018 07:25:59"    "08-Dec-2018 07:34:19"    "00:08:20"
    "08-Dec-2018 18:07:39"    "08-Dec-2018 18:12:39"    "00:05:00"
    "09-Dec-2018 05:39:19"    "09-Dec-2018 05:40:59"    "00:01:40"
    "09-Dec-2018 07:10:59"    "09-Dec-2018 07:17:39"    "00:06:40"
    "09-Dec-2018 08:45:59"    "09-Dec-2018 08:49:19"    "00:03:20"
